#Calibrated-RSSI Raw-RSSI
-44.276033654 -44.371
-43.9196975162 -44.01
-43.5633613784 -43.66116667
-43.2070252405 -43.27433333
-42.8506891027 -42.95316667
-42.4943529649 -42.57941667
-42.138016827 -42.19758333
-41.7816806892 -41.88008333
-41.4253445513 -41.51308333
-41.0690084135 -41.15441667
-40.7126722757 -40.83458333
-40.3563361378 -40.44933333
-40.0 -40.10691667
-39.6436638622 -39.79708333
-39.2873277243 -39.41641667
-38.9309915865 -39.077
-38.5746554487 -38.76258333
-38.2183193108 -38.39208333
-37.861983173 -38.0405
-37.5056470351 -37.52708333
-37.1493108973 -36.66791667
-36.7929747595 -35.6845
-36.4366386216 -34.77691667
-36.0803024838 -34.07891667
-35.723966346 -33.61158333
-35.3676302081 -33.21125
-35.0112940703 -32.84691667
-34.6549579325 -32.42991667
-34.2986217946 -32.035
-33.9422856568 -31.65966667
-33.5859495189 -31.27958333
-33.2296133811 -30.94808333
-32.8732772433 -30.56491667
-32.5169411054 -30.17266667
-32.1606049676 -29.82772727
-31.8042688298 -29.44318182
-31.4479326919 -29.09381818
-31.0915965541 -28.75090909
-30.7352604163 -28.37490909
-30.3789242784 -28.02563636
-30.0225881406 -27.68245455
-29.6662520027 -27.31690909
-29.3099158649 -26.97263636
-28.9535797271 -26.62427273
-28.5972435892 -26.26309091
-28.2409074514 -25.95845455
-27.8845713136 -25.67881818
-27.5282351757 -25.51709091
-27.1718990379 -25.5734
-26.8155629 -25.7527
-26.4592267622 -25.9311
-26.1028906244 -26.1515
-25.7465544865 -26.2292
-25.3902183487 -26.2481
-25.0338822109 -26.19666667
-24.677546073 -26.03222222
-24.3212099352 -25.785875
-23.9648737974 -25.51028571
-23.6085376595 -25.09614286
-23.2522015217 -24.2346
-22.8958653838 -23.7694
-22.539529246 -23.3662
-22.1831931082 -22.9986
-21.8268569703 -22.6076
-21.4705208325 -22.228
-21.1141846947 -21.87775
-20.7578485568 -21.50925
-20.401512419 -21.139
-20.0451762812 -20.795
-19.6888401433 -20.42275
-19.3325040055 -20.099
-18.9761678676 -19.64366667
-18.6198317298 -19.26566667
-18.263495592 -18.98733333
-17.9071594541 -18.7125
-17.5508233163 -18.182
-17.1944871785 -17.864
-16.8381510406 -17.52
-16.4818149028 -17.146
-16.125478765 -16.856
-15.7691426271 -16.538
-15.4128064893 -16.224
